,T10,T50,T90,N+A,C5NP,C5IP,C5N,C6NP,C6IP,C6N,C6A,C7NP,C7IP,C7N,C7A,C8NP,C8IP,C8N,C8A,C9NP,C9IP,C9N,C9A,C10NP,C10IP,C10N,C10A
673,79.2,112,142.8,34.604,4.568,3.971,0.468,4.232,4.47,4.181,0.831,8.424,7.346,8.446,3.026,7.279,7.804,5.405,4.734,4.384,7.945,3.902,2.514,0.724,3.575,0.532,0.5650000000000001
674,61.9,96.5,139.6,40.224,7.647,6.058,0.818,5.947,7.218,6.912,2.163,5.895,5.784,10.207,3.617,4.87,4.968,5.258,4.126,2.828,4.374,3.77,1.91,0.944,2.608,0.517,0.926
675,61.7,96,142.1,39.379,9.047,7.165,0.874,6.039,7.428,7.089,2.351,5.561,5.445,10.031,3.617,4.537,4.558,5.025,3.935,2.649,4.05,3.505,1.424,0.9369999999999999,2.788,0.659,0.8690000000000001
676,70.1,105.1,141.5,39.108,6.644,5.15,0.624,4.896,5.304,5.883,1.91,6.829,6.108,9.542,3.501,5.723,5.936,5.173,4.529,3.685,5.51,4.644,1.838,0.88,3.638,0.75,0.714
677,60.9,93,137.5,39.68,9.94,7.595,0.914,6.203,7.491,7.652,2.867,5.307,4.983,10.234,3.913,4.187,4.039,4.631,3.872,2.517,4.131,2.706,1.398,0.954,2.626,0.597,0.896
678,60.6,92.9,138.2,39.637,9.923,7.593,0.913,6.193,7.485,7.629,2.848,5.316,4.997,10.226,3.903,4.201,4.059,4.706,3.876,2.522,4.156,2.646,1.397,0.951,2.62,0.594,0.899
679,60.6,93.9,141.7,33.17,3.27,2.383,0.286,4.074,2.824,3.498,0.621,9.548,7.815,7.617,2.75,8.078,8.398,5.236,4.687,5.279,8.873,3.967,3.004,0.943,4.369,0.486,1.018
680,62.2,96.4,144.2,39.433,9.506,7.273,0.869,6.022,7.156,7.333,2.683,5.648,5.239,10.095,3.829,4.48,4.422,4.786,3.93,2.687,4.542,2.803,1.916,0.906,2.301,0.347,0.842
681,62.4,96.3,141.7,38.752,9.338,7.221,0.861,5.962,7.142,7.163,2.542,5.671,5.327,10.01,3.738,4.56,4.524,4.807,3.961,2.721,4.72,2.826,1.405,0.913,2.746,0.619,0.82
682,62.4,97.5,141.7,38.312,9.072,7.361,0.86,5.797,7.245,6.838,2.173,5.523,5.485,9.93,3.529,4.535,4.646,5.022,3.996,2.679,4.875,2.991,1.416,0.937,2.938,0.691,0.866
683,61.9,98.4,144.4,39.31,8.837,7.511,0.867,5.652,7.396,6.58,1.876,5.229,5.475,9.843,3.367,4.459,4.659,5.203,4.08,2.672,4.434,3.818,1.977,1.025,2.673,0.7710000000000001,0.928
684,61.8,99,147.4,39.039,9.004,7.715,0.883,5.708,7.551,6.617,1.846,5.149,5.466,9.86,3.346,4.372,4.609,5.141,4.03,2.607,4.327,3.822,1.983,1.015,2.755,0.578,0.933
685,57.6,93,134.2,39.05,8.914,7.643,0.881,5.689,7.525,6.605,1.847,5.147,5.47,9.866,3.348,4.376,4.603,5.121,4.041,2.614,4.367,3.863,1.956,1.028,2.847,0.5840000000000001,0.9380000000000001
686,61.2,97.5,142.5,38.942,8.989,7.805000000000001,0.897,5.721,7.671,6.61,1.791,5.081,5.503,9.857,3.311,4.302,4.573,5.158,4.003,2.566,4.304,3.816,1.991,1.022,2.793,0.591,0.917
687,62,96.5,138.5,38.766000000000005,8.678,7.5569999999999995,0.876,5.609,7.513,6.495,1.739,5.075,5.479,9.844,3.302,4.387,4.64,5.199,4.095,2.647,4.484,3.963,1.487,1.067,3.367,0.8240000000000001,0.9420000000000001
688,61.1,97.1,139.7,39.143,8.691,7.562,0.877,5.625,7.53,6.515,1.748,5.092,5.496,9.863,3.31,4.382,4.645,5.199,4.104,2.634,4.476,4.004,2.003,1.051,2.935,0.603,0.917
689,57,83,137.5,38.352000000000004,8.747,7.609,0.874,5.58,7.479,6.465,1.734,5.069,5.463,9.799,3.288,4.394,4.642,5.189,4.097,2.666,5.178,3.292,2.028,1.075,2.973,0.617,0.969
690,61.6,97.9,143.1,39.438,9.219000000000001,7.594,0.872,5.739,7.343,6.749,2.055,5.267,5.375,9.948,3.443,4.401,4.548,5.053,3.995,2.622,4.303,3.81,1.893,0.987,2.536,0.7390000000000001,0.881
691,62.4,97.9,141.5,38.292,8.994,7.451,0.859,5.655,7.25,6.662,1.994,5.31,5.427,9.929,3.42,4.469,4.622,5.188,4.043,2.671,5.077,3.154,1.441,0.9990000000000001,3.13,0.7300000000000001,0.872
692,61.8,97,143.1,37.461,9.75,7.757,0.872,5.927,7.423,6.941,2.172,5.293,5.223,10.023,3.519,4.353,4.913,4.313,3.919,2.554,4.726,2.708,1.926,1.123,2.72,0.358,0.71
693,61.7,95.9,139.7,40.263999999999996,8.962,6.866,0.847,5.962,7.241,7.17,2.372,5.523,5.265,9.648,3.712,4.521,2.556,6.586,4.021,2.635,4.617,2.827,1.908,1.134,2.7369999999999997,0.443,0.73
694,61.4,95.8,141.7,40.474000000000004,7.821,5.896,0.796,6.018,7.107,7.315,2.393,5.701,5.356,10.828,3.895,4.711,4.636,5.14,4.208,2.738,5.165,2.886,1.953,1.192,2.664,0.312,0.748
695,61.6,96.1,141,39.276,9.585,7.312,0.864,5.97,7.283,7.158,2.394,5.428,5.172,10.239,3.665,4.427,4.354,5.268,3.933,2.572,4.527,2.762,1.878,1.116,2.674,0.426,0.689
696,61.2,94.8,139.2,39.53399999999999,9.519,7.116,0.866,6.145,7.259,7.365,2.593,5.62,5.195,10.283,3.812,4.515,4.344,5.13,3.918,2.59,4.338,2.638,1.815,1.109,2.276,0.389,0.725
697,47.1,91.1,139,39.548,9.656,7.201,0.864,6.131,7.239,7.348,2.585,5.598,5.166,10.262,3.79,4.497,4.337,5.116,3.884,2.586,4.351,2.786,1.783,1.108,2.274,0.375,0.755
698,62.1,95.3,143.9,39.527,9.93,7.323,0.881,6.279,7.3,7.498,2.725,5.616,5.097,10.252,3.837,4.471,4.256,4.999,3.823,2.543,4.154,2.692,1.749,1.097,2.143,0.336,0.735
699,62.6,94.7,140.2,39.432,10.144,7.484,0.891,6.294,7.352,7.515,2.738,5.562,5.059,10.235,3.829,4.409,4.199,4.971,3.789,2.5,4.109,2.655,1.713,1.079,2.123,0.357,0.739
700,65.1,102.3,142.7,36.364000000000004,7.898,6.104,0.77,5.878,6.827,5.994,1.404,5.852,5.976,9.528,2.919,5.028,5.476,5.45,3.849,3.196,6.17,3.047,2.188,0.975,3.111,0.692,0.523
701,65.4,101.7,141,36.105000000000004,8.135,6.258,0.769,5.827,6.787,5.921,1.373,5.805,5.927,9.45,2.885,5.031,5.47,5.402,3.847,3.222,6.202,3.065,2.197,0.978,3.131,0.69,0.506
702,78.1,111.1,147.3,36.302,5.091,3.989,0.513,4.546,4.632,4.974,1.323,7.382,6.564,8.842,3.196,6.392,6.797,5.33,4.677,4.204,7.456,3.241,2.804,1.247,4.271,0.438,0.964
703,69.6,104.8,145,35.339999999999996,7.721,5.962,0.739,5.721,6.628,5.655,1.164,5.877,6.057,9.337,2.753,5.166,5.757,5.522,3.882,3.369,6.531,3.043,2.29,0.964,3.734,0.458,0.497
704,73.6,105.9,144.7,35.43,7.744,5.999,0.741,5.736,6.676,5.586,1.081,5.815,6.067,9.31,2.683,5.141,5.71,5.569,3.858,3.389,6.604,3.072,2.309,0.947,3.558,0.749,0.472
705,66.9,104.1,146.3,35.734,7.758,6.005,0.744,5.76,6.704,5.628,1.11,5.798,6.037,9.336,2.701,5.12,5.675,5.598,3.857,3.367,6.564,3.221,2.293,0.954,3.384,0.756,0.49
706,70.6,107,145.2,35.745,6.933,5.367,0.66,5.352,5.975,5.291,1.021,6.376,6.378,9.218,2.765,5.617,6.144,5.6,4.087,3.67,6.735,3.479,2.4,0.909,3.607,0.765,0.459
707,103.3,118.7,143.3,37.431,0.487,0.369,0.06,2.506,0.879,3.159,0.432,9.867,8.364,9.193,3.359,8.688,9.168,6.345,5.832,5.799,10.77,4.846,3.085,0.595,4.066,0.883,0.237
708,104.9,119.5,144.7,37.389,0.198,0.144,0.031,2.524,0.687,2.972,0.393,9.928,8.282,8.89,3.332,8.876,9.328,6.289,5.805,6.051,10.653,5.315,3.221,0.629,4.304,0.915,0.226
709,104.3,119.2,144.2,36.166,0.299,0.222,0.039,2.683,0.792,2.893,0.393,10.126,8.35,8.509,3.29,9.001,9.439,6.072,5.781,6.117,10.975,4.831,3.228,0.625,4.229,0.891,0.239
710,94.8,116.5,144.5,36.528,2.135,1.543,0.205,3.487,2.259,3.631,0.618,9.077,7.897,8.664,3.146,7.947,8.428,5.891,5.225,5.312,9.405,4.709,3.069,0.793,4.162,0.914,0.456
711,75.2,108.4,151.7,36.614999999999995,7.041,5.093,0.656,5.571,6.168,5.687,1.227,6.067,6.559,9.337,2.802,5.061,5.663,5.574,3.796,3.241,6.616,3.341,2.437,1.216,3.823,0.877,0.881
712,76.8,114.7,150,36.782,7.485,5.412,0.697,5.757,6.498,5.917,1.328,5.844,6.438,9.434,2.81,4.821,5.411,5.575,3.691,3.057,6.321,3.233,2.349,1.239,3.724,0.845,0.903
713,73.2,106.4,152.5,36.711999999999996,7.92,5.71,0.731,5.919,6.765,6.111,1.418,5.692,6.389,9.466,2.815,4.622,5.203,5.438,3.578,2.903,6.04,3.127,2.283,1.254,3.67,0.829,0.916
714,73,106.2,153,37.272,7.615,5.464,0.725,5.934,6.793,6.173,1.436,5.574,6.408,9.581,2.825,4.526,5.125,5.535,3.562,2.842,6.004,3.167,2.339,1.341,3.794,0.886,1.043
715,72.9,104.2,146.1,37.237,7.788,5.562,0.732,5.962,6.857,6.196,1.443,5.498,6.389,9.55,2.803,4.462,5.056,5.513,3.527,2.795,5.923,3.153,2.333,1.365,3.786,0.889,1.098
716,73.6,103.3,145.3,36.941,7.943,5.482,0.732,6.135,6.974,6.242,1.48,5.464,6.684,9.449,2.71,4.38,4.979,5.49,3.37,2.774,5.806,3.164,2.289,1.431,3.908,0.885,1.13
717,74.3,107.9,143.9,36.172,6.94,4.529,0.623,5.931,6.171,5.819,1.37,6.312,7.199,9.177,2.701,5.068,5.656,5.432,3.513,3.301,6.477,3.406,2.298,1.296,3.916,0.854,0.979
718,69.3,99.8,142.3,36.104,8.282,5.404,0.733,6.491,7.157,6.326,1.542,5.619,6.978,9.252,2.571,4.319,4.933,5.259,3.079,2.754,5.592,3.125,2.134,1.42,3.886,0.847,1.236
719,74,104,144,35.862,8.563,5.514,0.753,6.693,7.39,6.461,1.593,5.565,7.049,9.264,2.525,4.183,4.822,5.189,2.935,2.65,5.389,3.063,2.049,1.421,3.845,0.821,1.209
720,83.7,110.6,144.4,41.078,4.035,2.766,0.462,4.608,4.711,5.471,1.744,6.775,6.707,10.574,4.399,6.026,6.588,6.065,5.564,3.72,7.604,3.311,2.67,0.778,3.833,0.413,0.405
721,80.9,108.1,141.6,45.946,4.233,3.0109999999999997,0.546,4.849,5.512,6.226,2.317,5.615,5.584,11.782,5.362,5.332,5.749,6.45,6.318,3.18,6.514,3.435,2.666,0.606,3.14,0.552,0.292
722,79.1,107,141.2,45.104,4.818,3.367,0.585,5.149,5.874,6.393,2.315,5.558,5.706,11.648,5.138,5.115,5.571,6.341,5.931,3.028,6.223,3.329,2.532,0.663,3.1310000000000002,0.5670000000000001,0.325
723,79.2,106,138,45.466,4.612,3.2359999999999998,0.571,5.048,5.765,6.33,2.315,5.52,5.813,11.696,5.227,5.174,5.61,6.368,6.091,3.066,6.318,3.371,2.586,0.652,3.143,0.573,0.338
724,80.9,107.3,138.1,45.422,4.253,3.011,0.547,4.909,5.544,6.223,2.303,5.822,5.955,11.697,5.31,5.394,5.848,6.369,6.179,3.169,6.46,3.383,2.585,0.591,3.071,0.538,0.288
725,79.6,107.4,139.7,44.290000000000006,4.395,3.048,0.528,4.868,5.36,5.952,2.104,6.153,6.245,11.187,4.93,5.601,6.079,6.242,5.897,3.325,6.316,3.911,2.59,0.678,3.066,0.597,0.352
726,79.2,108.1,141.2,43.79,4.71,3.23,0.546,5.011,5.513,6.017,2.091,6.123,6.316,11.081,4.788,5.487,5.989,6.19,5.708,3.249,6.198,3.861,2.534,0.7130000000000001,3.072,0.597,0.377
727,78.6,106.1,138.1,45.182,4.5440000000000005,3.152,0.558,4.983,5.624,6.212,2.257,5.741,5.972,11.513,5.12,5.309,5.758,6.305,6.016,3.173,6.099,3.685,2.602,0.666,3.209,0.581,0.333
728,74.9,105.3,141.5,44.203,5.388,3.608,0.613,5.495,6.192,6.472,2.243,5.574,6.156,11.327,4.745,4.933,5.429,6.158,5.434,2.944,5.689,3.724,2.435,0.7809999999999999,3.077,0.613,0.439
729,79.4,109.2,143,39.339,4.362,2.842,0.469,4.864,4.858,5.314,1.587,7.397,7.156,9.835,3.883,6.247,6.494,5.696,4.955,3.827,6.831,3.84,2.544,0.782,3.622,0.692,0.524
730,87.4,113.6,145.3,36.693,3.489,2.273,0.331,3.945,3.388,4.25,1.152,8.876,7.918,8.732,3.506,7.518,8.069,5.473,4.983,4.681,7.91,4.3,2.726,0.83,3.638,0.75,0.49
731,68.1,101.4,143.7,40.618,6.607,4.338,0.676,6.068,6.67,6.628,2.119,5.82,6.503,10.423,3.834,4.774,5.205,5.516,4.318,2.908,5.327,3.559,2.19,1.087,3.2649999999999997,0.646,0.7090000000000001
732,105.4,118.6,142,39.685,8.628,5.739,0.778,6.406,7.229,7.08,2.401,5.601,6.154,10.28,3.778,4.377,4.699,5.225,3.907,2.567,4.639,3.118,1.89,0.99,2.768,0.578,0.65
733,63.6,91.4,143.1,39.06,9.586,6.47,0.837,6.549,7.482,7.325,2.58,5.567,5.918,10.129,3.737,4.261,4.477,4.961,3.712,2.461,4.328,2.873,1.736,0.96,2.513,0.533,0.637
734,89.4,106.8,134.5,56.295,3.015,2.017,0.288,2.084,2.356,5.35,0.794,6.013,7.66,23.36,4.997,4.097,5.558,9.514,4.324,1.736,5.332,4.801,1.656,0.494,2.578,0.639,0.572
735,90.7,107.7,139.2,56.544,2.843,1.914,0.276,1.966,2.213,5.328,0.787,6.075,7.677,23.587,5.057,3.712,5.608,9.434,4.391,1.746,5.362,4.809,1.662,0.472,2.569,0.648,0.565
736,82.5,105.3,138.5,52.105000000000004,4.912,3.342,0.447,3.275,3.76,6.017,1.417,5.818,6.952,19.824,4.797,4.125,5.159,8.227,4.272,1.907,4.974,4.205,1.655,0.611,2.424,0.615,0.629
737,80.5,105.4,137.2,49.911,4.933,3.354,0.446,3.426,3.793,5.89,1.432,6.208,7.045,18.493,4.644,4.518,5.464,7.681,4.311,2.203,5.225,4.146,1.756,0.617,2.487,0.577,0.535
738,66.5,98,137.4,42.287000000000006,8.711,5.921,0.755,5.742,6.602,7.146,2.408,5.588,5.997,12.62,4.078,4.184,4.53,5.686,3.838,2.271,4.491,2.956,1.676,0.862,2.39,0.501,0.623
739,66.4,97.3,135.4,42.172999999999995,8.623,5.857,0.746,5.711,6.551,7.064,2.388,5.549,5.905,12.349,4.058,4.255,4.552,5.647,3.92,2.354,4.592,3.01,1.738,0.916,2.451,0.52,0.733
740,92.1,108,139.5,57.426,2.511,1.666,0.253,1.791,2.017,5.28,0.704,6.05,7.813,24.467,5.134,4.056,5.623,9.698,4.371,1.651,5.586,4.674,1.626,0.424,2.559,0.676,0.543
741,91.3,107.7,139.7,57.126999999999995,2.705,1.794,0.263,1.835,2.075,5.293,0.731,6.008,7.756,24.313,5.103,3.578,5.584,9.601,4.346,1.634,5.543,4.659,1.62,0.444,2.51,0.635,0.563
742,82.1,105.5,137.2,52.415000000000006,4.543,3.066,0.416,3.115,3.541,5.853,1.241,5.865,7.172,20.376,4.748,4.121,5.262,8.464,4.191,1.895,5.24,4.142,1.673,0.621,2.521,0.647,0.664
743,94.5,108.6,137.1,59.053,1.871,1.226,0.194,1.323,1.5,5.026,0.448,6.051,8.045,25.889,5.198,3.496,5.717,10.163,4.369,1.539,5.679,4.908,1.611,0.408,2.608,0.665,0.582
744,95.5,108.8,141,59.157000000000004,1.701,1.115,0.184,1.298,1.432,4.966,0.431,6.13,7.967,25.761,5.199,3.609,5.796,10.147,4.415,1.609,5.539,5.167,1.646,0.406,2.657,0.673,0.568
745,95.3,108.6,139.5,58.995000000000005,1.835,1.204,0.192,1.343,1.484,5.058,0.444,6.157,8.036,25.809,5.2,3.565,5.884,10.044,4.351,1.588,5.459,5.074,1.614,0.395,2.3804999999999996,0.654,0.555
746,94.8,107.8,134,59.398999999999994,1.818,1.193,0.191,1.339,1.487,5.041,0.451,6.14,8.114,25.844,5.208,3.559,5.877,10.251,4.367,1.577,5.462,5.211,1.608,0.401,2.617,0.693,0.534
747,95.3,108.1,135.5,58.98199999999999,1.888,1.2309999999999999,0.195,1.381,1.522,5.011,0.465,6.117,8.054,25.537,5.166,4.055,5.873,10.097,4.38,1.609,5.497,5.224,1.637,0.40800000000000003,2.6630000000000003,0.664,0.6060000000000001
748,94.3,107.6,133.6,58.745000000000005,1.901,1.24,0.199,1.43,1.569,5.001,0.486,6.104,8.007,25.327,5.144,3.623,5.89,10.03,4.408,1.637,5.54,5.249,1.655,0.42000000000000004,2.657,0.665,0.5810000000000001
749,94.1,107.9,134.9,58.754,1.958,1.276,0.204,1.49,1.632,5.014,0.507,6.1,7.979,25.144,5.13,3.631,5.88,10.185,4.403,1.65,5.528,5.228,1.662,0.429,2.637,0.682,0.595
750,93.3,107.7,133.1,57.708,2.07,1.349,0.214,1.583,1.735,5.046,0.539,6.092,7.95,24.862,5.095,4.1,5.86,9.953,4.397,1.668,5.526,5.199,1.666,0.443,2.674,0.681,0.056
751,70.7,106.6,154.5,48.13499999999999,6.656000000000001,5.129,0.726,4.22,5.481,6.867,1.759,4.161,5.018,13.485,4.02,3.197,4.028,7.021,4.397,2.121,4.91,4.076,2.891,1.4949999999999999,3.762,1.062,1.8310000000000002
752,70.7,105.9,151.2,49.584,6.339,4.897,1.743,4.141,5.379,6.817,1.743,4.121,4.937,13.42,4.041,3.228,4.05,7.112,4.507,2.168,5.015,4.164,2.997,1.532,3.929,1.103,1.937
753,94.7,114.2,143.8,38.925,2.066,1.504,0.214,3.165,2.005,3.747,0.696,9.581,8.394,10.601,3.499,8.007,8.176,6.372,5.116,4.549,8.282,4.685,2.586,0.776,3.293,0.781,0.628
754,82.3,107,139.7,43.613,3.984,2.671,0.421,4.317,3.839,5.959,1.122,7.48,7.882,14.057,3.655,5.76,6.729,6.629,4.221,3.173,6.369,4.262,2.068,0.654,2.962,0.687,0.532
755,73.7,100.5,136.8,48.82599999999999,6.235,4.136,0.696,4.761,5.174,8.899,1.496,5.716,7.579,17.778,3.781,3.711,4.851,6.849,3.319,1.632,4.355,3.687,1.393,0.418,2.112,0.51,0.418
756,72.9,98.4,135,51.217999999999996,6.561,4.341,0.777,4.767,5.387,10.08,1.514,5.228,7.656,19.436,3.778,2.744,4.35,7.101,3.02,1.125,3.807,3.58,1.154,0.276,1.882,0.456,0.322
757,90.1,107.6,136.4,56.388000000000005,2.8,1.832,0.269,2.033,2.242,5.234,0.689,6.036,7.803,23.5,4.923,4.094,5.732,9.474,4.294,1.719,5.39,5.001,1.692,0.501,2.71,0.676,0.636
758,83.1,106.1,137.2,51.951,4.17,2.817,0.404,3.088,3.411,5.806,1.036,6,7.443,19.86,4.49,4.229,5.541,8.455,4.142,1.999,5.301,4.542,1.825,0.685,2.753,0.691,0.7
759,76,103.1,138.8,48.702999999999996,5.631,3.809,0.602,4.224,4.65,7.538,1.386,5.797,7.255,17.204,3.952,4.067,5.139,7.201,3.752,1.963,4.897,4.004,1.738,0.667,2.556,0.647,0.679
760,73.4,99,131.2,49.793000000000006,6.167,4.094,0.698,4.547,5.019,9.011,1.434,5.558,7.525,18.245,3.777,3.61,4.788,7.109,3.33,1.538,4.35,3.789,1.403,0.417,2.211,0.568,0.429
761,72.6,98.4,135.5,50.29299999999999,6.538,4.322,0.753,4.743,5.305,9.729,1.489,5.367,7.645,18.924,3.746,2.931,4.5,7.05,3.088,1.266,4.124,3.455,1.214,0.322,1.948,0.473,0.372
762,72.5,97.7,130,50.391,6.491,4.291,0.753,4.755,5.317,9.751,1.496,5.369,7.654,18.954,3.755,2.933,4.502,7.059,3.087,1.259,4.116,3.459,1.208,0.317,1.921,0.512,0.357
763,73,98.7,131.4,49.25399999999999,6.306,4.181,0.708,4.706,5.174,9.079,1.488,5.59,7.556,18.084,3.786,3.594,4.76,6.98,3.29,1.536,4.431,3.532,1.372,0.404,2.151,0.532,0.403
764,72.6,98.5,135.3,50.36500000000001,6.299,4.164,0.737,4.677,5.201,9.643,1.45,5.403,7.674,18.951,3.741,3.326,4.583,7.078,3.129,1.304,4.225,3.534,1.237,0.325,1.956,0.485,0.38
765,72.5,98.3,134.8,50.284,6.579,4.346,0.76,4.763,5.334,9.784,1.483,5.344,7.67,18.943,3.726,3.23,4.481,7.037,3.057,1.248,4.097,3.46,1.2,0.312,1.97,0.47,0.364
766,75,100.5,136.4,48.898,5.804,3.841,0.674,4.588,4.85,8.997,1.369,5.965,7.816,17.973,3.719,3.888,5.11,6.984,3.357,1.72,4.732,3.592,1.361,0.34,2.106,0.496,0.376
767,73.4,99.2,138.4,50.257999999999996,6.225,4.114,0.727,4.659,5.155,9.522,1.441,5.451,7.659,18.761,3.73,3.081,4.647,7.129,3.18,1.375,4.32,3.575,1.272,0.339,1.9749999999999999,0.534,0.387
768,73,99,136.8,50.075,6.357,4.202,10.296999999999999,4.7,5.208,18.735,1.457,5.456,7.671,7.075,3.731,3.062,4.624,3.516,3.144,1.359,4.256,0.458,1.252,0.33,1.9709999999999999,0.042,0.368
769,73.1,98.2,131.2,50.186,6.321,4.186999999999999,0.747,4.776,5.302,9.724,1.488,5.453,7.707,18.867,3.751,3.334,4.569,6.985,3.112,1.32,4.192,3.464,1.222,0.32,1.9489999999999998,0.478,0.34800000000000003
770,73.1,97.8,130,50.161,6.2330000000000005,4.122,0.728,4.688,5.178,9.533,1.454,5.48,7.672,18.747,3.745,3.414,4.649,7.095,3.168,1.375,4.292,3.537,1.258,0.338,1.982,0.519,0.377
771,73,97.6,128.4,50.346000000000004,6.007,3.98,0.719,4.669,5.148,9.495,1.453,5.483,7.477,18.742,3.754,3.449,4.678,7.144,3.21,1.403,4.346,3.586,1.308,0.348,2.1289999999999996,0.523,0.412
772,72.2,97.7,130,50.58800000000001,5.642,3.746,0.706,4.683,5.134,9.49,1.461,5.537,7.513,18.816,3.79,3.499,4.73,7.198,3.273,1.428,4.446,3.619,1.31,0.358,2.0669999999999997,0.529,0.396
773,72.4,98,130.7,50.107,5.829,3.879,0.709,4.717,5.178,9.381,1.474,5.551,7.473,18.504,3.766,3.545,4.753,7.137,3.268,1.475,4.445,3.606,1.327,0.368,2.07,0.54,0.395
774,72,98,130.6,49.291999999999994,6.445,4.289,0.733,4.82,5.338,9.382,1.506,5.503,7.423,18.178,3.707,3.479,4.667,6.959,3.176,1.442,4.329,3.497,1.287,0.357,1.829,0.502,0.365
775,64.6,97.7,139.7,66.543,3.008,3.34,0.299,2.556,5.01,1.43,18.323,3.207,10.505,1.019,43.019,0.573,2.316,0.663,1.741,0,0.099,0.02,0,0,0,0,0.029
777,68.6,102.8,142.1,66.053,2.803,3.379,0.294,2.257,5.12,1.133,16.521,2.542,10.563,0.936,45.588,3.235,2.482,0.697,0.854,0.645,0.087,0,0,0,0,0,0.03
778,68.3,101.9,140.4,35.428,2.804,2.12,0.251,4.146,2.822,3.844,0.747,9.738,8.523,8.885,3.228,8.061,8.86,5.732,5.167,4.736,8.619,4.059,2.57,0.602,2.984,0.591,0.354
779,68.3,101.9,140.4,37.666,7.126,5.516,0.647,5.675,6.423,6.024,1.298,6.437,7.186,10.604,2.985,5.177,5.94,5.901,3.71,2.767,5.988,3.484,1.83,0.785,2.675,0.574,0.609
780,71.8,105.3,143.5,36.491,6.354,4.898,0.562,5.532,5.733,5.569,1.165,7.18,7.534,10.068,2.92,5.793,6.576,5.793,3.823,3.22,6.541,3.595,1.889,0.722,2.753,0.588,0.519
781,70.7,103.4,139.9,36.917,6.475,4.987,0.594,5.67,6.033,5.791,1.224,6.955,7.477,10.291,2.93,5.578,6.367,5.825,3.734,3.063,6.346,3.555,1.849,0.733,2.724,0.585,0.539
782,63.4,98.2,141.5,37.854,8.3,6.392,0.731,6.003,7.215,6.468,1.395,5.594,6.843,10.992,2.852,4.515,5.264,6.028,3.305,2.302,5.445,3.257,1.608,0.822,2.509,0.561,0.657
783,64,97.8,137.2,37.872,8.47,6.521,0.744,6.087,7.326,6.548,1.416,5.606,6.89,11.031,2.861,4.449,5.216,5.972,3.257,2.237,5.329,3.317,1.56,0.795,2.509,0.537,0.629
784,64.1,99.1,142.8,37.95400000000001,8.37,6.446,0.735,6.017,7.237,6.487,1.399,5.594,6.843,10.992,2.853,4.493,5.248,6.008,3.286,2.275,5.391,3.356,1.587,0.811,2.518,0.568,0.683
785,64.7,99.8,144.6,37.167,9.191,7.104,0.789,6.263,7.648,6.687,1.459,5.519,6.86,10.902,2.815,4.296,5.056,5.779,3.131,2.145,5.073,3.16,1.457,0.759,2.306,0.482,0.506
786,64.9,99.5,144,38.34,8.282,6.3790000000000004,0.733,6.033,7.244,6.504,1.402,5.619,6.688,11.031,2.864,4.505,5.268,6.031,3.297,2.281,5.212,3.622,1.584,0.801,2.547,0.517,0.755
787,69.7,106.4,145.5,45.547,6.676,5.146,0.598,5.11,6.043,5.476,1.82,5.258,6.211,9.395,4.187,4.258,4.96,5.335,10.766,2.196,4.871,3.198,3.295,0.705,2.189,0.463,1.014
788,69.7,103.2,140.7,40.477,7.0889999999999995,5.126,0.598,5.855,6.252,5.869,1.529,6.187,6.882,10.262,3.414,4.878,5.612,5.58,6.379,2.587,5.351,3.457,2.251,0.637,2.274,0.461,0.677
789,68.6,102.6,140.6,39.802,7.373,5.321,0.609,5.881,6.329,5.934,1.506,6.141,7.032,10.425,3.344,4.852,5.595,5.663,5.977,2.547,5.555,3.18,2.113,0.637,2.351,0.413,0.638
790,68.4,102.5,141.8,40.118,7.340999999999999,5.304,0.609,5.833,6.32,5.919,1.483,6.057,6.805,10.434,3.294,4.858,5.579,5.71,5.83,2.569,5.403,3.544,2.141,0.67,2.326,0.47200000000000003,0.682
791,71.2,105.1,141.2,38.282,6.4879999999999995,4.875,0.558,5.518,5.773,5.397,1.259,6.741,6.97,9.83,3.129,5.554,6.236,5.694,5.116,3.147,6.1,3.796,2.245,0.754,2.6980000000000004,0.59,0.668
792,69.5,102.9,138.1,37.885000000000005,7.036,5.414,0.618,5.727,6.306,5.631,1.283,6.486,6.887,9.93,3.063,5.265,5.972,5.679,4.631,2.914,5.828,3.671,2.101,0.785,2.646,0.586,0.692
793,70.4,103.9,138.9,37.190000000000005,6.593,5.192,0.587,5.527,6.013,5.336,1.171,6.752,6.941,9.618,3.007,5.589,6.282,5.714,4.496,3.171,6.171,3.791,2.178,0.834,2.854,0.625,0.667
794,68.1,103.2,142.2,37.08,7.252,5.82,0.649,5.677,6.565,5.557,1.2,6.279,6.72,9.741,2.926,5.249,5.927,5.783,4.115,2.912,5.921,3.722,2.045,0.893,2.809,0.62,0.722
795,66,101.7,142.6,37.129,7.788,6.309,0.709,5.874,7.095,5.864,1.242,5.888,6.6,10.016,2.877,4.877,5.592,5.863,3.728,2.611,5.59,3.588,1.887,0.922,2.614,0.621,0.734
796,66,101.5,145.3,36.543,8.374,6.789,0.752,6.111,7.469,6.079,1.297,5.796,6.615,10.06,2.849,4.663,5.104,5.599,3.542,2.453,5.43,3.436,1.75,0.874,2.545,0.53,0.649
