,T10,T50,T90,N+A,C5NP,C5IP,C5N,C6NP,C6IP,C6N,C6A,C7NP,C7IP,C7N,C7A,C8NP,C8IP,C8N,C8A,C9NP,C9IP,C9N,C9A,C10NP,C10IP,C10N,C10A
2947,103.3,118.9,143.7,32.43,0.076,0.048,0.011,4.003,1.1969999999999998,2.388,0.943,10.844,7.884,6.651,3.07,9.948,10.633000000000001,5.192,5.501,6.383,10.358,5.012,3.033,0.799,4.649,0.36,0.269
2948,102.8,119.2,144.8,32.862,0.165,0.09999999999999999,0.022,3.999,1.265,2.519,0.792,10.688,7.822,6.991,3.068,9.834,10.508999999999999,5.344,5.473,6.286,10.209000000000001,5.042,3.002,0.812,4.718000000000001,0.335,0.274
2949,101.7,119.3,143.7,33.673,0.158,0.10300000000000001,0.019,3.948,1.225,2.408,2.222,10.571,7.7090000000000005,6.727,3.07,9.691,10.368,5.19,5.48,6.223,10.083,4.934,3.005,0.808,4.702,0.336,0.28200000000000003
2950,101.4,119.3,144.7,34.272999999999996,0.18,0.121,0.022,3.967,1.2449999999999999,2.389,2.849,10.519,7.668,6.626,3.111,9.578,10.187999999999999,5.216,5.506,6.159,9.959,4.882,3.078,0.802,4.704999999999999,0.304,0.29
2951,100.4,118,142.5,35.592999999999996,0.415,0.259,0.051,3.953,1.42,2.736,2.482,10.123,7.517,7.418,3.118,9.277,9.850999999999999,5.535,5.635,5.899,9.609,4.885,3.069,0.812,4.495,0.349,0.315
2952,100.7,117.4,142.7,35.211,0.326,0.183,0.044,3.964,1.4969999999999999,2.748,1.631,9.914,7.673,7.78,3.176,9.169,10.09,5.825,5.361,5.749,9.705,4.942,2.937,0.89,4.726,0.412,0.35500000000000004
2953,101.3,117.9,142.8,35.95,0.349,0.184,0.05,3.962,1.594,2.856,1.216,9.635,7.698,8.236,3.209,8.961,10.033,6.147,5.277,5.54,9.668,5.147,2.976,0.9380000000000001,4.7860000000000005,0.433,0.403
2954,100.6,117.5,142.4,37.93000000000001,0.481,0.243,0.069,3.892,1.8099999999999998,3.115,1.215,8.873,7.577,9.191,3.336,8.407,9.707,6.745,5.131,5.055,9.335999999999999,5.23,2.897,1.023,4.87,0.484,0.517
2955,100.3,117.4,142.4,37.980000000000004,0.478,0.232,0.071,3.896,1.863,3.173,0.945,8.739,7.622,9.469,3.358,8.321,9.725,6.947,5.017,4.953,9.301,5.247,2.782,1.053,4.758,0.498,0.47300000000000003
2956,98.2,116,141.4,38.944,0.721,0.382,0.09,3.896,1.938,3.195,2.433,8.552,7.406,9.221,3.6,8.107,9.402000000000001,6.69,4.933,4.844,8.976,5.101,2.673,1.039,4.622000000000001,0.532,0.47600000000000003
2957,99.6,117.8,144.7,41.362,0.641,0.371,0.107,3.567,1.8559999999999999,3.52,1.346,8.08,6.744000000000001,10.499,3.464,8.236,8.865,7.703,5.362,4.888,8.816,5.439,2.939,1.0219999999999998,4.577,0.521,0.462
2958,100.9,118.7,144.4,42.157,0.638,0.404,0.121,3.36,1.7409999999999999,3.679,0.677,8.013,6.226,10.993,3.299,8.549,8.684,7.999,5.8,5.124,8.669,5.613,3.102,0.97,4.617000000000001,0.546,0.328
